Time	Channel Voltage	Channel Current	Channel LP1	Channel LP2
(us)	(V)	(V)	(V)	(V)

86.73599749	6.27091551	0.55296504	-4.17076778	-0.15917200
86.73999749	6.27091551	0.55296504	-4.17230558	-0.15917200
86.74399749	6.11035919	0.55296504	-4.17538118	-0.15917200
86.74799749	6.27091551	0.55296504	-4.17845726	-0.15917200
86.75199749	6.27091551	0.55296504	-4.18153286	-0.15917200
86.75599749	6.27091551	0.55296504	-4.18460894	-0.15917200
86.75999749	6.27091551	0.55296504	-4.18768454	-0.15917200
86.76399749	6.27091551	0.55296504	-4.18922234	-0.15917200
86.76799749	6.27091551	0.55296504	-4.19229841	-0.15917200
86.77199749	6.11035919	0.55296504	-4.19537401	-0.15917200
86.77599749	6.27091551	0.55296504	-4.19845009	-0.15917200
86.77999749	6.27091551	0.55296504	-4.20152569	-0.15901820
86.78399749	6.27091551	0.55296504	-4.20460129	-0.15901820
86.78799749	6.27091551	0.55296504	-4.20767736	-0.15901820
86.79199749	6.11035919	0.55296504	-4.21075296	-0.15901820
86.79599749	6.11035919	0.55296504	-4.21382856	-0.15901820
86.79999749	6.27091551	0.55296504	-4.21690464	-0.15901820
86.80399749	6.27091551	0.55296504	-4.21998024	-0.15886442
86.80799749	6.27091551	0.55296504	-4.22305632	-0.15886442
86.81199749	6.27091551	0.55296504	-4.22613192	-0.15886442
86.81599749	6.11035919	0.55296504	-4.22920752	-0.15886442
86.81999749	6.11035919	0.55296504	-4.23228359	-0.15871063
86.82399749	6.11035919	0.55296504	-4.23535919	-0.15871063
86.82799749	6.27091551	0.55296504	-4.23843479	-0.15855685
86.83199749	6.11035919	0.55296504	-4.24151087	-0.15855685
86.83599749	6.27091551	0.55296504	-4.24304867	-0.15840305
86.83999749	6.11035919	0.55296504	-4.24612474	-0.15824927
86.84399749	6.27091551	0.55296504	-4.24920034	-0.15824927
86.84799749	6.11035919	0.55296504	-4.25227594	-0.15809548
86.85199749	6.11035919	0.55296504	-4.25381374	-0.15809548
86.85599748	6.27091551	0.55296504	-4.25688982	-0.15794170
86.85999748	6.27091551	0.55296504	-4.25996542	-0.15778789
86.86399748	6.27091551	0.55296504	-4.26304150	-0.15763411
86.86799748	6.11035919	0.55296504	-4.26611710	-0.15763411
86.87199748	6.11035919	0.55296504	-4.26765490	-0.15748031
86.87599748	6.11035919	0.55296504	-4.27073097	-0.15732652
86.87999748	6.27091551	0.55296504	-4.27226877	-0.15732652
86.88399748	6.27091551	0.55296504	-4.27534485	-0.15717274
86.88799748	6.11035919	0.55296504	-4.27842045	-0.15701893
86.89199748	6.11035919	0.55296504	-4.27995777	-0.15701893
86.89599748	6.11035919	0.55296504	-4.28303385	-0.15686515
86.89999748	6.27091551	0.55296504	-4.28457165	-0.15671135
86.90399748	6.27091551	0.55296504	-4.28764772	-0.15671135
86.90799748	6.27091551	0.55296504	-4.29072332	-0.15655757
86.91199748	6.27091551	0.55296504	-4.29379892	-0.15655757
86.91599748	6.27091551	0.55296504	-4.29533720	-0.15640378
86.91999748	6.27091551	0.53715551	-4.29841280	-0.15625000
86.92399748	6.27091551	0.55296504	-4.30148888	-0.15625000
86.92799748	6.27091551	0.55296504	-4.30302668	-0.15625000
86.93199748	6.27091551	0.55296504	-4.30610228	-0.15609621
86.93599748	6.27091551	0.55296504	-4.30917788	-0.15594243
86.93999748	6.27091551	0.55296504	-4.31225395	-0.15594243
86.94399748	6.27091551	0.55296504	-4.31532955	-0.15594243
86.94799748	6.27091551	0.55296504	-4.31840515	-0.15578863
86.95199748	6.27091551	0.55296504	-4.31994343	-0.15578863
86.95599748	6.27091551	0.55296504	-4.32455730	-0.15578863
86.95999748	6.27091551	0.55296504	-4.32763290	-0.15563485
86.96399748	6.27091551	0.55296504	-4.33070850	-0.15563485
86.96799748	6.27091551	0.55296504	-4.33378458	-0.15563485
86.97199748	6.27091551	0.55296504	-4.33686018	-0.15563485
86.97599748	6.27091551	0.55296504	-4.33993626	-0.15563485
86.97999748	6.27091551	0.55296504	-4.34454966	-0.15563485
86.98399748	6.43147135	0.55296504	-4.34762526	-0.15563485
86.98799748	6.27091551	0.55296504	-4.35070133	-0.15563485
86.99199748	6.27091551	0.55296504	-4.35531521	-0.15563485
86.99599748	6.27091551	0.55296504	-4.35839081	-0.15578863
86.99999748	6.27091551	0.55296504	-4.36300421	-0.15578863
87.00399748	6.27091551	0.55296504	-4.36761808	-0.15578863
87.00799748	6.27091551	0.55296504	-4.37223148	-0.15594243
87.01199748	6.43147135	0.55296504	-4.37684536	-0.15594243
87.01599748	6.27091551	0.55296504	-4.37992144	-0.15609621
87.01999748	6.27091551	0.55296504	-4.38607264	-0.15625000
87.02399748	6.27091551	0.55296504	-4.39068651	-0.15625000
87.02799748	6.27091551	0.55296504	-4.39529991	-0.15640378
87.03199748	6.43147135	0.55296504	-4.40145159	-0.15655757
87.03599748	6.43147135	0.55296504	-4.40606546	-0.15671135
87.03999748	6.27091551	0.55296504	-4.41221714	-0.15686515
87.04399748	6.27091551	0.55296504	-4.41683102	-0.15701893
87.04799748	6.27091551	0.55296504	-4.42298222	-0.15717274
87.05199748	6.27091551	0.55296504	-4.42759609	-0.15732652
87.05599748	6.27091551	0.55296504	-4.43374729	-0.15748031
87.05999748	6.27091551	0.55296504	-4.43989897	-0.15778789
87.06399748	6.27091551	0.53715551	-4.44451284	-0.15794170
87.06799748	6.27091551	0.55296504	-4.45066404	-0.15809548
87.07199748	6.27091551	0.55296504	-4.45681620	-0.15840305
87.07599748	6.27091551	0.55296504	-4.46296740	-0.15855685
87.07999748	6.27091551	0.55296504	-4.47065735	-0.15886442
87.08399748	6.27091551	0.53715551	-4.47680855	-0.15917200
87.08799748	6.27091551	0.55296504	-4.48296022	-0.15932578
87.09199748	6.27091551	0.55296504	-4.48911142	-0.15963337
87.09599748	6.27091551	0.55296504	-4.49526358	-0.15994094
87.09999748	6.27091551	0.55296504	-4.50141478	-0.16024852
87.10399748	6.27091551	0.55296504	-4.50910425	-0.16055611
87.10799748	6.27091551	0.55296504	-4.51525593	-0.16070990
87.11199748	6.27091551	0.55296504	-4.52294540	-0.16101748
87.11599748	6.27091551	0.53715551	-4.52909708	-0.16132505
87.11999748	6.27091551	0.55296504	-4.53524876	-0.16163263
87.12399748	6.27091551	0.55296504	-4.54293776	-0.16194022
87.12799748	6.27091551	0.55296504	-4.54908943	-0.16224779
87.13199748	6.27091551	0.53715551	-4.55524111	-0.16255537
87.13599748	6.11035919	0.53715551	-4.56293058	-0.16286296
87.13999748	6.27091551	0.55296504	-4.56908226	-0.16317053
87.14399748	6.27091551	0.55296504	-4.57677174	-0.16347811
